* 발전기 허용전압강하계수
"Voltage Drop [%] / x''d [%]","20%","21%","22%","23%","24%","25%"
"VD 15%","1.13","1.19","1.25","1.30","1.36","1.42"
"VD 16%","1.05","1.10","1.16","1.20","1.26","1.31"
"VD 17%","0.98","1.03","1.07","1.12","1.17","1.22"
"VD 18%","0.91","0.96","1.00","1.05","1.09","1.14"
"VD 19%","0.85","0.89","0.94","0.98","1.02","1.07"
"VD 20%","0.80","0.84","0.88","0.92","0.96","1.00"
* DIESEL GENERATOR SET
HYUNDAI DOOSAN ENGINE
비상출력 (kW),비상출력 (kVA),상용출력 (kW),상용출력 (kVA),연료탱크 (L),무게 (kg),PAD (L×W×H),Model
60,75,54.5,68,80,979,2500 × 1300 × 170,EDG-60D
80,100,70,88,80,979,2500 × 1300 × 170,EDG-80D
175,219,160,200,120,1790,3000 × 1400 × 240,EDG-175D
200,250,180,225,120,1850,3100 × 1400 × 250,EDG-200D
250,313,225,281,210,1960,3500 × 1600 × 200,EDG-250D
275,344,250,313,210,2290,3500 × 1600 × 240,EDG-275D
300,375,275,344,210,2380,3500 × 1600 × 250,EDG-300D
330,413,300,375,275,2680,3500 × 1700 × 250,EDG-330D
360,450,320,400,275,2850,3500 × 1700 × 270,EDG-360D
400,500,360,450,275,2870,3500 × 1700 × 270,EDG-400D
460,575,415,519,별치형,3360,3500 × 1700 × 320,EDG-460D
500,625,450,563,별치형,3490,3600 × 1700 × 320,EDG-500D
560,700,508,635,별치형,3750,3800 × 1700 × 330,EDG-560D
610,763,548,685,별치형,3790,3800 × 1700 × 330,EDG-610D
660,825,600,750,별치형,4220,4000 × 1700 × 340,EDG-660D
700,875,640,800,별치형,4340,4000 × 1700 × 350,EDG-700D
750,938,680,850,별치형,4520,4000 × 1700 × 370,EDG-750D
800,1000,725,906,별치형,5020,4300 × 1900 × 360,EDG-800D
900,1125,810,1013,별치형,5290,4300 × 1900 × 360,EDG-900D
* Diesel Generator Air Intake/Exhaust
1) 1800RPM(60Hz),,,,,,
발전기 모델,발전기 용량,탑재 엔진 (두산),배기(Exhaust),,급기(Intake),
EDG-60D,60 kW,DB58,700*700,0.49㎡,850*850,0.7㎡
EDG-80D,80 kW,D1146,700*700,0.49㎡,850*850,0.7㎡
EDG-175D,175 kW,DE12T,800*800,0.64㎡,1000*1000,1.0㎡
EDG-200D,200 kW,P086TI,900*900,0.81㎡,1100*1100,1.2㎡
EDG-250D,250 kW,P126TI-3,1000*1000,1.0㎡,1200*1200,1.44㎡
EDG-275D,275 kW,P126TI,1000*1000,1.0㎡,1200*1200,1.44㎡
EDG-300D,300 kW,P126TI-2,1000*1000,1.0㎡,1200*1200,1.44㎡
EDG-330D,330 kW,P158LE-2,1300*1300,1.69㎡,1600*1500,2.4㎡
EDG-360D,360 kW,P158LE-1,1300*1300,1.69㎡,1600*1500,2.4㎡
EDG-400D,400 kW,P158LE,1300*1300,1.69㎡,1600*1500,2.4㎡
EDG-460D,460 kW,DP158LC,1400*1400,1.96㎡,1700*1700,2.89㎡
EDG-500D,500 kW,DP158LD,1400*1400,1.96㎡,1700*1700,2.89㎡
EDG-560D,560 kW,DP180LA,1400*1400,1.96㎡,1700*1700,2.89㎡
EDG-610D,610 kW,DP180LB,1400*1400,1.96㎡,1700*1700,2.89㎡
EDG-660D,660 kW,DP222LA,1500*1500,2.25㎡,1800*1800,3.24㎡
EDG-700D,700 kW,DP222LB,1500*1500,2.25㎡,1800*1800,3.24㎡
EDG-750D,750 kW,DP222LC,1500*1500,2.25㎡,1800*1800,3.24㎡
