* TRANSFORMER CHARACTERISTICS
TRANSFORMER CHARACTERISTICS
용량,%Z,%R,%X,무부하전류,전압변동률,효율(%),,외형치수(mm),,,중량
kVA,(%),(%),(%),(%),,부하100%,부하50%,W,D,H,(kg)
100,5.5,0.55,5.47,0.7,1.2,98.7,98.9,1265,800,1445,1050
200,6,0.6,5.97,0.7,1.3,98.8,99,1290,825,1450,1150
300,6,0.6,5.97,0.6,1.3,98.8,99.1,1340,835,1475,1350
400,6,0.6,5.97,0.6,1.1,99,99.2,1490,910,1495,1700
500,6,0.6,5.97,0.6,1.1,99,99.2,1490,910,1525,1800
600,6,0.6,5.97,0.6,1,99.1,99.3,1575,1000,1665,2250
750,6,0.6,5.97,0.6,1,99.1,99.3,1575,1000,1695,2350
1000,7,0.7,6.96,0.5,1.1,99.2,99.4,1725,1000,1840,3100
1250,7,0.7,6.96,0.6,1,99.2,99.4,1740,1010,1840,3200
1500,7,0.7,6.96,0.5,0.9,99.3,99.5,1980,1200,2080,5150
2000,7.5,0.75,7.46,0.5,0.9,99.3,99.5,2170,1200,2147,5850
2500,8,0.8,7.96,0.5,0.9,99.3,99.5,2170,1200,2180,5950
3000,8,0.8,7.96,0.5,0.9,99.3,99.5,2240,1200,2210,6600

* POWER SYSTEM STANDARDS BY TRANSFORMER
POWER SYSTEM STANDARDS BY TRANSFORMER
HV 22.9KV,,,,,,,LV 380V,,,,,,
변압기,1차정격,1차 PF,M.O.F (OIL TYPE),,,TR측 PF,2차정격,Insulated Busbar,,Flexible Busbar,,ACB,
KVA,I_N1,25.8kV,PT,CT,과전류강도,25.8kV,I_N2,규격 (W-T-㎟),허용전류,규격 (W-T-㎟),허용전류,AF,ICU (kA)
50,1.3,10,13200/110V,5,150,2,76,25W-5T-125㎟,150,25W-4T-100㎟,150,630,50
100,2.6,10,13200/110V,5,150,5,152,30W-5T-150㎟,180,30W-5T-150㎟,180,630,50
150,3.8,10,13200/110V,5,150,5,228,40W-5T-200㎟,240,40W-4T-160㎟,220,630,50
200,5.1,16,13200/110V,10,150,8,304,40W-6T-240㎟,300,40W-5T-200㎟,280,630,50
250,6.4,16,13200/110V,10,150,10,380,50W-6T-300㎟,360,50W-5T-250㎟,330,630,50
300,7.6,16,13200/110V,10,150,10,456,50W-8T-400㎟,480,50W-6T-300㎟,420,630,50
350,8.9,20,13200/110V,10,150,12,532,50W-10T-500㎟,600,50W-6T-300㎟,420,630,50
400,10.1,25,13200/110V,15,150,15,608,60W-10T-600㎟,720,50W-8T-400㎟,560,630,50
450,11.4,25,13200/110V,15,150,15,684,60W-10T-600㎟,720,50W-8T-400㎟,560,800,50
500,12.7,30,13200/110V,15,150,20,760,60W-12T-720㎟,860,60W-8T-480㎟,670,1000,50
550,13.9,30,13200/110V,20,75,20,836,75W-10T-750㎟,900,60W-8T-480㎟,670,1000,50
600,15.2,40,13200/110V,20,75,20,912,75W-12T-900㎟,1080,75W-8T-600㎟,840,1000,50
650,16.4,40,13200/110V,20,75,25,988,75W-12T-900㎟,1080,75W-8T-600㎟,840,1000,50
700,17.7,40,13200/110V,20,75,25,1064,80W-12T-960㎟,1150,75W-8T-600㎟,840,1250,50
750,19,40,13200/110V,30,75,25,1140,80W-12T-960㎟,1150,80W-8T-640㎟,900,1250,50
800,20.2,50,13200/110V,30,75,30,1216,100W-10T-1000㎟,1200,80W-8T-640㎟,900,1250,50
850,21.5,50,13200/110V,30,75,30,1292,100W-10T-1000㎟,1200,80W-8T-640㎟,900,1600,50
900,22.7,50,13200/110V,30,75,30,1368,100W-12T-1200㎟,1450,100W-8T-800㎟,1120,1600,50
950,24,50,13200/110V,30,75,40,1444,100W-12T-1200㎟,1450,100W-8T-800㎟,1120,1600,50
1000,25.3,63,13200/110V,30,75,40,1520,100W-10T-1000㎟ ×2,2400,100W-6T-600㎟ ×2,1700,1600,50
1050,26.5,63,13200/110V,30,75,40,1596,100W-10T-1000㎟ ×2,2400,100W-6T-600㎟ ×2,1700,1600,50
1100,27.8,63,13200/110V,40,75,40,1672,100W-10T-1000㎟ ×2,2400,100W-6T-600㎟ ×2,1700,2000,50
1150,29,63,13200/110V,40,75,40,1748,100W-10T-1000㎟ ×2,2400,100W-8T-800㎟ ×2,2200,2000,65
1200,30.3,63,13200/110V,40,75,40,1824,100W-10T-1000㎟ ×2,2400,100W-8T-800㎟ ×2,2200,2000,65
1250,31.6,80,13200/110V,40,75,50,1900,125W-10T-1250㎟,1500,100W-8T-800㎟ ×2,2200,2000,65
1300,32.8,80,13200/110V,40,75,50,1976,125W-10T-1250㎟ ×2,3000,100W-8T-800㎟ ×2,2200,2000,65
1350,34.1,80,13200/110V,40,75,50,2052,125W-10T-1250㎟ ×2,3000,100W-8T-800㎟ ×2,2200,2500,65
1400,35.3,80,13200/110V,40,75,50,2128,125W-10T-1250㎟ ×2,3000,100W-8T-800㎟ ×2,2200,2500,65
1450,36.6,80,13200/110V,50,75,50,2204,125W-10T-1250㎟ ×2,3000,100W-8T-800㎟ ×2,2200,2500,65
1500,37.9,80,13200/110V,50,75,50,2280,125W-10T-1250㎟ ×2,3000,100W-8T-800㎟ ×2,2200,2500,65
1550,39.1,80,13200/110V,50,75,65,2356,125W-10T-1250㎟ ×2,3000,100W-8T-800㎟ ×2,2200,2500,65
1600,40.4,100,13200/110V,50,75,65,2432,125W-10T-1250㎟ ×2,3000,100W-8T-800㎟ ×2,2200,2500,65
기중차단기 (Air Circuit Breaker)
정격전류(A),AF(A),정격차단전류(kA),정격사용전압(V),LS-E
200,630,50,690,AN-06D
400,630,50,690,AN-06D
630,630,50,690,AN-06D
800,800,50,690,AN-08D
1000,1000,50,690,AN-10D
1250,1250,50,690,AN-13D
1600,1600,50,690,AN-16D
2000,2000,65,690,AN-20E
2500,2500,65,690,AN-25E
3200,3200,65,690,AN-32E
4000,4000,85,690,AS-40E
5000,5000,85,690,AS-50F
6300,6300,85,690,AS-63G
진공차단기 (Vacuum Circuit Breaker)
정격전류(A),AF(A),정격차단전류(kA),정격사용전압(kV),LS-E
630,1250,12.5,25.8,VL-20
630,1250,16.0,25.8,VL-20
630,2500,25.0,25.8,VL-20
1250,2500,25.0,25.8,VL-20
2000,2500,25.0,25.8,VL-20
2500,2500,25.0,25.8,VL-20
3150,3150,31.5,25.8,VH-20
3150,3150,40.0,25.8,VH-20
