* CABLE Outer Diameter & Weight,,,,,,,,,,,,
" 1) 0.6/1kV FW-CV, F-CV, HFCO, CV",,,,,,,,,,,,
,1C,,,2C,,,3C,,,4C,,
공칭단면적,외경,단면적,중량,외경,단면적,중량,외경,단면적,중량,외경,단면적,중량
mm²,mm,mm²,kg/km,mm,mm²,kg/km,mm,mm²,kg/km,mm,mm²,kg/km
400,34.3,924.01,3640,,,,,,,,,
,,,,,,,,,,,,
 5) 0.6/1kV F-GV 선정,,,,,,,,,,,,
CABLE,PE,외경,중량,단면적,,,,,,,,
mm²,mm²,mm,kg/km,mm²,,,,,,,,
1.5,1.5,6.5,60,33.18,,,,,,,,
2.5,2.5,7.0,80,38.48,,,,,,,,
4,4,8.0,110,50.27,,,,,,,,
6,6,8.5,130,56.75,,,,,,,,
10,10,9.5,180,70.88,,,,,,,,
16,16,10,230,78.54,,,,,,,,
25,16,10,230,78.54,,,,,,,,
35,16,10,230,78.54,,,,,,,,
50,25,12.0,340,113.10,,,,,,,,
70,35,13.0,440,132.73,,,,,,,,
95,50,14.5,570,165.13,,,,,,,,
120,70,16.0,780,201.06,,,,,,,,
150,95,18.5,1060,268.80,,,,,,,,
185,95,18.5,1060,268.80,,,,,,,,
240,120,20,1300,314.16,,,,,,,,
300,150,22,1600,380.13,,,,,,,,
120,120,20,1300,314.16,,,,,,,,
150,150,22,1600,380.13,,,,,,,,
185,185,25,1980,490.87,,,,,,,,
240,240,28,2580,615.75,,,,,,,,
300,300,30,3210,706.86,,,,,,,,
,,,,,,,,,,,,
* Combinded Duct Outer Diameter,,,,,,,,,,,,
 1) CD 합성수지 가요전선관,,,,,,,,,,,,
CD,외경,내경,단면적,점유율 32%,점유율 40%,점유율 48%,CD,,,,,
호칭,mm,mm,mm²,mm²,mm²,mm²,호칭,,,,,
16,21.0,16.0,201.1,64.3,80.4,96.5,16,,,,,
22,27.5,22.0,380.1,121.6,152.1,182.5,22,,,,,
28,34.0,28.0,615.8,197.0,246.3,295.6,28,,,,,
36,42.0,36.0,1017.9,325.7,407.2,488.6,36,,,,,
42,48.0,42.0,1385.4,443.3,554.2,665.0,42,,,,,
,,,,,,,,,,,,
 2) HI 경질 폴리염화비닐(PVC),,,,,,,,,,,,
HI,외경,내경,단면적,점유율 32%,점유율 40%,점유율 48%,HI,,,,,
호칭,mm,mm,mm²,mm²,mm²,mm²,호칭,,,,,
16,22.0,18.0,254.5,81.4,101.8,122.1,16,,,,,
22,26.0,22.0,380.1,121.6,152.1,182.5,22,,,,,
28,34.0,28.0,615.8,197.0,246.3,295.6,28,,,,,
36,42.0,35.0,962.1,307.9,384.8,461.8,36,,,,,
42,48.0,40.0,1256.6,402.1,502.7,603.2,42,,,,,
54,60.0,51.0,2042.8,653.7,817.1,980.6,54,,,,,
70,76.0,67.0,3525.7,1128.2,1410.3,1692.3,70,,,,,
82,89.0,77.0,4656.6,1490.1,1862.7,2235.2,82,,,,,
100,114.0,83.0,5410.6,1731.4,2164.2,2597.1,100,,,,,
,,,,,,,,,,,,
 3) ST 스틸 전선관(아연도금),,,,,,,,,,,,
ST,외경,내경,단면적,점유율 32%,점유율 40%,점유율 48%,ST,,,,,
호칭,mm,mm,mm²,mm²,mm²,mm²,호칭,,,,,
16,21.0,16.4,211.2,67.6,84.5,101.4,16,,,,,
22,26.5,21.9,376.7,120.5,150.7,180.8,22,,,,,
28,33.3,28.3,629.0,201.3,251.6,301.9,28,,,,,
36,41.9,36.9,1069.4,342.2,427.8,513.3,36,,,,,
42,47.8,42.8,1438.7,460.4,575.5,690.6,42,,,,,
54,59.6,54,2290.2,732.9,916.1,1099.3,54,,,,,
70,75.2,69.6,3804.6,1217.5,1521.8,1826.2,70,,,,,
82,87.9,82.3,5319.7,1702.3,2127.9,2553.5,82,,,,,
104,113.4,106.4,8891.5,2845.3,3556.6,4267.9,104,,,,,
,,,,,,,,,,,,
 4) ELP 파상형 경질 폴리에틸렌 지중 전선관,,,,,,,,,,,,
ELP,외경,내경,단면적,점유율 32%,점유율 40%,점유율 48%,ELP,,,,,
호칭Φ,mm,mm,mm²,mm²,mm²,mm²,호칭Φ,,,,,
30,40.0,30,706.9,226.2,282.7,339.3,30,,,,,
40,53.0,40,1256.6,402.1,502.7,603.2,40,,,,,
50,64.0,50,1963.5,628.3,785.4,942.5,50,,,,,
65,84.0,65,3318.3,1061.9,1327.3,1592.8,65,,,,,
80,105.0,80,5026.5,1608.5,2010.6,2412.7,80,,,,,
100,130.0,100,7854.0,2513.3,3141.6,3769.9,100,,,,,
125,160.0,125,12271.8,3927.0,4908.7,5890.5,125,,,,,
150,188.0,150,17671.5,5654.9,7068.6,8482.3,150,,,,,
168,230.0,175,24052.8,7696.9,9621.1,11545.4,175,,,,,
200,260.0,200,31415.9,10053.1,12566.4,15079.6,200,,,,,
